961253;Helen Hart;5;40;250;1;
961245;Adam Wade;5;34;250;5;
987452;Herman Riley;5;22;250;3;
663541;Daryl Bush;5;40;250;0;
214563;Steve Tate;6;40;200;
778544;Mildred Jacobs;6;35;200;
476528;Vera Hernandez;6;38;200;
445663;Lester Howard;4;
789456;Dan Jones;4;
145263;Christy Moore;3;
787845;Mark Stanley;0;40;300;8;
230055;Maria Anderson;0;38;300;7;
256034;Jean Miller;0;40;300;6;
975301;Ruben Davis;0;33;300;5;
456285;Jennifer Hunter;0;34;300;4;
142760;Sherri Lewis;0;32;300;3;
452103;Michelle Smith;0;40;300;2;
458978;Suzanne Rodriguez;0;38;300;1;
465465;George Burton;0;36;300;0;
666635;Louis Torres;0;40;300;10;
665478;Rose Clark;0;35;300;10;
897492;Theresa Clark;0;35;250;0;
466845;Terry Russell;0;35;250;1;
487919;Christina Smith;0;40;250;15;
669936;David Peters;0;30;250;4;
054066;Troy Hicks;6;20;200;
894652;Keith Richards;6;40;200;
548985;Teresa Perry;5;32;250;9;
489455;Gregory Scott;0;40;250;1;
895654;Gerald Walker;0;40;250;2;
894515;Anita West;1;40;400;1;
687755;April Nelson;1;40;400;0;
221315;Wayne Crawford;1;30;400;0;
895250;Jacob Burke;1;36;400;1;
965811;Marvin Jefferson;1;37;400;0;
454653;Alexander Wilson;1;38;400;0;
854125;Mitchell Simpson;1;39;400;0;
784515;Julio Allen;1;40;400;0;
894656;Lucy Sanders;1;25;400;0;
323278;Mark Johnson;1;26;400;1;
486545;Lori Clark;1;27;400;0;
985656;Theodore Parker;1;28;400;0;
589798;Margaret Nelson;1;29;400;0;
485125;Willie Thomas;1;30;400;0;
089505;Albert Hill;1;31;400;0;
845056;Lisa Brown;1;32;400;1;
854104;Kenneth Ferguson;1;33;400;0;
410815;Amy Luna;1;34;400;0;
735624;Larry Butler;1;35;400;1;
895612;Mary Allen;1;36;400;0;
585692;Douglas Edwards;1;37;400;0;
985612;Janet Smith;1;38;400;0;
355222;Dolores Brown;1;39;400;0;
048946;Anthony Pittman;1;40;400;1;
985066;Michael Moore;1;40;400;0;
654563;Sara Butler;1;40;400;0;
486511;Michael Porter;2;40;1000;
695411;Donna Evans;2;35;1000;
515614;Randall Nelson;2;38;1000;
561385;Deborah McDaniel;0;40;250;5;
540555;Lucy Bell;0;40;250;7;
368132;Ben Nichols;1;38;400;0;
654853;Ana Wilson;0;39;250;4;
548454;Darren Ramirez;1;40;400;1;
545635;Charles Howard;2;40;1000;
488453;Teresa Miller;1;37;400;0;
542454;Toni Carpenter;1;25;400;0;
798646;James Cole;1;36;400;0;
890521;Larry Zimmerman;0;26;300;2;
817063;Margaret Scott;0;34;300;1;
851206;Sandra Martinez;0;36;250;3;
740213;Shawn Rodriguez;0;20;300;4;
984502;Nicholas Smith;0;32;250;5;
051681;Jeffrey Johnson;0;39;250;6;
064355;Shane Johnson;0;28;250;7;
845121;Bryan Garcia;1;36;400;1;
651054;Jessica Garcia;1;39;400;0;
102389;Judy Francis;1;27;400;1;
815104;Mary Taylor;1;40;400;0;
465104;James Watts;1;40;400;0;
874650;Rick Hampton;0;40;250;6;
560501;David King;1;40;400;0;
456051;Katherine Conner;0;40;300;9;
841241;Bruce Ramirez;1;40;400;0;
084054;Jane Robinson;0;30;300;5;
065045;Angela Smith;6;20;200;
891131;Cheryl Leonard;0;40;300;3;
894105;Jennifer Torres;1;35;400;0;
486486;Lucille King;1;25;400;0;
842054;Michael Jackson;1;40;400;1;
813612;Charles Thomas;1;25;400;0;
465412;Miriam Weaver;1;34;400;0;
854150;Mary Scott;1;38;400;0;
841031;Eric Taylor;1;40;400;1;
841506;Kathleen Wilson;1;23;400;0;
315850;Melissa Roberts;1;29;400;0;
046105;Lillie Phillips;2;34;1000;
889510;John Barnes;0;26;250;2;
104514;Susan Day;1;20;400;0;
910511;Anne Phillips;0;32;300;6;
451113;Reginald Rhodes;1;31;400;0;
841054;Jerome Cannon;0;40;300;2;
951035;Sean Cook;1;35;400;0;
896402;Angela Munoz;1;34;400;0;
561355;Mark Ward;0;37;250;2;
489910;Brandon Scott;0;34;300;7;
846085;Juanita Cross;0;30;300;7;
376465;Chester Simmons;0;35;300;7;
918272;Ronnie Johnson;0;40;300;2;
362644;Lawrence Wardmas;0;20;300;2;
665472;Joseph Hall;1;20;400;0;
886110;Emily Bennett;0;30;300;4;
658655;John Perez;1;34;400;1;
974212;Natalie Bishop;1;20;400;0;
653102;Ronald Williamson;1;30;400;0;
510132;Pauline Franklin;1;35;400;0;
941652;Teresa Stone;1;38;400;0;
465120;Wayne Graham;1;39;400;1;
651002;Catherine Williams;0;40;250;3;
804066;Donna Little;1;31;400;0;
541061;Ivan Smith;1;40;400;0;
